id,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
1927,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:57:00,0.295704,0.295726,0.296061,0.2955,1144752.516445,N
1928,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:56:00,0.296316,0.295939,0.296587,0.295779,1029.0,Y
1929,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:56:00,0.296123,0.295745,0.296257,0.295508,1679327.89168,N
1930,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:55:00,0.296874,0.296066,0.296874,0.296037,1166356.193339,N
1931,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:55:00,0.297073,0.296303,0.297087,0.296272,1177.0,Y
1932,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:54:00,0.296544,0.296901,0.2975,0.296511,1565737.526417,N
1933,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:54:00,0.296899,0.297142,0.297759,0.296777,2258.0,Y
1934,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:53:00,0.29653,0.296924,0.296962,0.296,1073.0,Y
1935,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:53:00,0.2964,0.296559,0.296635,0.295736,1128528.20893,N
1936,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:52:00,0.295652,0.296344,0.296736,0.295433,1401886.625812,N
1937,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:52:00,0.295834,0.296418,0.296903,0.295601,1340.0,Y
1938,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:51:00,0.295551,0.295884,0.296717,0.295461,4555.0,Y
1939,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:51:00,0.295514,0.29576,0.296439,0.295331,1519144.707663,N
1940,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:50:00,0.295875,0.295753,0.295988,0.294586,2485441.040335,N
1941,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:50:00,0.295927,0.295627,0.29593,0.2946,3680.0,Y
1942,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:49:00,0.296714,0.295944,0.296783,0.295052,1320373.908454,N
1943,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:49:00,0.296766,0.295947,0.296766,0.29521,1750.0,Y
1944,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:48:00,0.297158,0.296845,0.2974,0.296693,1652.0,Y
1945,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:48:00,0.297093,0.296754,0.297204,0.296541,1310767.435955,N
1946,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:47:00,0.29731,0.297241,0.297527,0.296457,2237.0,Y
1947,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:47:00,0.297083,0.29707,0.297509,0.296347,2064198.043335,N
1948,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:46:00,0.296792,0.297186,0.297789,0.296773,2473.0,Y
1949,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:46:00,0.29645,0.297083,0.297652,0.296389,2512577.003133,N
1950,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:45:00,0.296245,0.296545,0.297491,0.295982,2093961.201431,N
1951,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:45:00,0.296499,0.296751,0.297643,0.296174,1986.0,Y
1952,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:44:00,0.295064,0.296445,0.296499,0.294928,2112.0,Y
1953,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:44:00,0.295185,0.296234,0.296381,0.294869,1614577.362456,N
1954,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:43:00,0.296118,0.295143,0.296351,0.29437,1330.0,Y
1955,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:43:00,0.296121,0.295126,0.296548,0.294516,2020196.587955,N
1956,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:42:00,0.295508,0.295993,0.297112,0.295459,2293455.163122,N
1957,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:42:00,0.295596,0.29605,0.297176,0.295596,2310.0,Y
1958,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:41:00,0.293456,0.295641,0.295801,0.293389,1699068.43802,N
1959,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:41:00,0.293411,0.295604,0.29582,0.293411,1516.0,Y
1960,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:40:00,0.29348,0.293363,0.294034,0.293258,939.0,Y
1961,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:40:00,0.2935,0.2935,0.294,0.293145,1030566.379273,N
